
trp_farmer_from_bandit_village|农 民 
trp_farmer_from_bandit_village_pl|农 民 
trp_trainer_1|教 练 
trp_trainer_1_pl|教 练 
trp_trainer_2|教 练 
trp_trainer_2_pl|教 练 
trp_trainer_3|教 练 
trp_trainer_3_pl|教 练 
trp_trainer_4|教 练 
trp_trainer_4_pl|教 练 
trp_trainer_5|教 练 
trp_trainer_5_pl|教 练 
trp_ransom_broker_1|赎 金 经 纪 人 
trp_ransom_broker_1_pl|赎 金 经 纪 人 
trp_ransom_broker_2|赎 金 经 纪 人 
trp_ransom_broker_2_pl|赎 金 经 纪 人 
trp_ransom_broker_3|赎 金 经 纪 人 
trp_ransom_broker_3_pl|赎 金 经 纪 人 
trp_ransom_broker_4|赎 金 经 纪 人 
trp_ransom_broker_4_pl|赎 金 经 纪 人 
trp_ransom_broker_5|赎 金 经 纪 人 
trp_ransom_broker_5_pl|赎 金 经 纪 人 
trp_ransom_broker_6|赎 金 经 纪 人 
trp_ransom_broker_6_pl|赎 金 经 纪 人 
trp_ransom_broker_7|赎 金 经 纪 人 
trp_ransom_broker_7_pl|赎 金 经 纪 人 
trp_ransom_broker_8|赎 金 经 纪 人 
trp_ransom_broker_8_pl|赎 金 经 纪 人 
trp_ransom_broker_9|赎 金 经 纪 人 
trp_ransom_broker_9_pl|赎 金 经 纪 人 
trp_ransom_broker_10|赎 金 经 纪 人 
trp_ransom_broker_10_pl|赎 金 经 纪 人 
trp_tavern_traveler_1|旅 行 者 
trp_tavern_traveler_1_pl|旅 行 者 
trp_tavern_traveler_2|旅 行 者 
trp_tavern_traveler_2_pl|旅 行 者 
trp_tavern_traveler_3|旅 行 者 
trp_tavern_traveler_3_pl|旅 行 者 
trp_tavern_traveler_4|旅 行 者 
trp_tavern_traveler_4_pl|旅 行 者 
trp_tavern_traveler_5|旅 行 者 
trp_tavern_traveler_5_pl|旅 行 者 
trp_tavern_traveler_6|旅 行 者 
trp_tavern_traveler_6_pl|旅 行 者 
trp_tavern_traveler_7|旅 行 者 
trp_tavern_traveler_7_pl|旅 行 者 
trp_tavern_traveler_8|旅 行 者 
trp_tavern_traveler_8_pl|旅 行 者 
trp_tavern_traveler_9|旅 行 者 
trp_tavern_traveler_9_pl|旅 行 者 
trp_tavern_traveler_10|旅 行 者 
trp_tavern_traveler_10_pl|旅 行 者 
trp_tavern_bookseller_1|书 籍 商 人 
trp_tavern_bookseller_1_pl|书 籍 商 人 
trp_tavern_bookseller_2|书 籍 商 人 
trp_tavern_bookseller_2_pl|书 籍 商 人 
trp_tavern_minstrel_1|游 方 艺 人 
trp_tavern_minstrel_1_pl|游 方 艺 人 
trp_tavern_minstrel_2|著 名 作 家 
trp_tavern_minstrel_2_pl|游 方 艺 人 
trp_tavern_minstrel_3|神 秘 乐 师 
trp_tavern_minstrel_3_pl|游 方 艺 人 
trp_tavern_minstrel_4|宫 廷 诗 人 
trp_tavern_minstrel_4_pl|游 方 艺 人 
trp_tavern_minstrel_5|吟 游 诗 人 
trp_tavern_minstrel_5_pl|游 方 艺 人 
trp_kingdom_heroes_including_player_begin|kingdom heroes including player begin 
trp_kingdom_heroes_including_player_begin_pl|kingdom heroes including player begin 
trp_npc1|波 尔 查 
trp_npc1_pl|波 尔 查 
trp_npc2|马 尼 德 
trp_npc2_pl|马 尼 德 
trp_npc3|雅 米 拉 
trp_npc3_pl|雅 米 拉 
trp_npc4|罗 尔 夫 
trp_npc4_pl|罗 尔 夫 
trp_npc5|贝 斯 图 尔 
trp_npc5_pl|贝 斯 图 尔 
trp_npc6|法 提 斯 
trp_npc6_pl|法 提 斯 
trp_npc7|德 赛 维 
trp_npc7_pl|德 赛 维 
trp_npc8|马 蒂 尔 德 
trp_npc8_pl|马 蒂 尔 德 
trp_npc9|艾 雷 恩 
trp_npc9_pl|艾 雷 恩 
trp_npc10|班 达 克 
trp_npc10_pl|班 达 克 
trp_npc11|凯 特 琳 
trp_npc11_pl|凯 特 琳 
trp_npc12|杰 姆 斯 
trp_npc12_pl|杰 姆 斯 
trp_npc13|尼 扎 
trp_npc13_pl|尼 扎 
trp_npc14|雷 萨 里 特 
trp_npc14_pl|雷 萨 里 特 
trp_npc15|亚 提 曼 
trp_npc15_pl|亚 提 曼 
trp_npc16|克 雷 斯 
trp_npc16_pl|克 雷 斯 
trp_yaoli|要 离 
trp_yaoli_pl|要 离 
trp_gongzhu|朱 红 雪 
trp_gongzhu_pl|朱 红 雪 
trp_da1|【 大 师 兄 】 孙 宇 
trp_da1_pl|【 大 师 兄 】 孙 宇 
trp_da2|【 二 师 兄 】 朱 坤 
trp_da2_pl|【 二 师 兄 】 朱 坤 
trp_da3|【 三 师 兄 】 沙 尔 
trp_da3_pl|【 三 师 兄 】 沙 尔 
trp_da5|辣 条 
trp_da5_pl|辣 条 
trp_meiling|【 管 侍 】 蒋 新 新 
trp_meiling_pl|【 管 侍 】 蒋 新 新 
trp_meimei|【 护 侍 】 曾 琴 琴 
trp_meimei_pl|【 护 侍 】 曾 琴 琴 
trp_baijl|【 光 精 灵 】 克 娜 丝 
trp_baijl_pl|【 光 精 灵 】 克 娜 丝 
trp_anjl|【 暗 精 灵 】 黛 安 娜 
trp_anjl_pl|【 暗 精 灵 】 黛 安 娜 
trp_anjlfenshen|暗 精 灵 分 身 
trp_anjlfenshen_pl|暗 精 灵 分 身 
trp_anjlfenshen2|暗 精 灵 分 身 
trp_anjlfenshen2_pl|暗 精 灵 分 身 
trp_jinjl|【 金 精 灵 】 艾 莉 娅 
trp_jinjl_pl|【 金 精 灵 】 艾 莉 娅 
trp_tujl|【 土 精 灵 】 塔 莉 娅 
trp_tujl_pl|【 土 精 灵 】 塔 莉 娅 
trp_huojl|【 火 精 灵 】 艾 丝 
trp_huojl_pl|【 火 精 灵 】 艾 丝 
trp_mujl|【 木 精 灵 】 阿 斯 摩 尔 
trp_mujl_pl|【 木 精 灵 】 阿 斯 摩 尔 
trp_shuijl|【 水 精 灵 】 卿 尼 安 静 
trp_shuijl_pl|【 水 精 灵 】 卿 尼 安 静 
trp_dongdu7xia0|【东 都 游 侠 】 冲 殿 
trp_dongdu7xia1|【东 都 七 侠 】 典 战 
trp_dongdu7xia2|【东 都 七 侠 】 关 铸 
trp_dongdu7xia3|【东 都 七 侠 】 叟 尝
trp_dongdu7xia4|【东 都 七 侠 】 旦 暮 
trp_dongdu7xia5|【东 都 七 侠 】 钭 避 
trp_dongdu7xia6|【东 都 七 侠 】 坪 纶 
trp_dongdu7xia7|【东 都 七 侠 】 白 朴 
trp_kingdom_1_lord|哈 劳 斯 国 王 
trp_kingdom_1_lord_pl|哈 劳 斯 
trp_kingdom_7_lord|卡 拉 德 女 皇 
trp_kingdom_7_lord_pl|卡 拉 德 女 皇  
trp_kingdom_2_lord|亚 罗 格 尔 克 国 王 
trp_kingdom_2_lord_pl|亚 罗 格 尔 克 
trp_kingdom_3_lord|塞 加 可 汗 
trp_kingdom_3_lord_pl|塞 加 
trp_kingdom_4_lord|拉 格 纳 国 王 
trp_kingdom_4_lord_pl|拉 格 纳 
trp_kingdom_5_lord|葛 瑞 福 斯 国 王 
trp_kingdom_5_lord_pl|葛 瑞 福 斯 
trp_kingdom_6_lord|哈 基 姆 苏 丹 
trp_kingdom_6_lord_pl|哈 基 姆 
trp_kingdom_1_lordfu|斯 瓦 迪 亚 王 后 
trp_kingdom_1_lordfu_pl|斯 瓦 迪 亚 王 后 
trp_kingdom_2_lordfu|维 基 亚 王 后 
trp_kingdom_2_lordfu_pl|维 基 亚 王 后 
trp_kingdom_3_lordfu|库 吉 特 汗 后 
trp_kingdom_3_lordfu_pl|库 吉 特 汗 后 
trp_kingdom_4_lordfu|诺 德 王 后 
trp_kingdom_4_lordfu_pl|诺 德 王 后 
trp_kingdom_5_lordfu|罗 多 克 王 后 
trp_kingdom_5_lordfu_pl|罗 多 克 王 后 
trp_kingdom_6_lordfu|萨 兰 德 苏 丹 王 后 
trp_kingdom_6_lordfu_pl|萨 兰 德 苏 丹 王 后 
trp_knight_1_1|克 拉 格 斯 伯 爵 
trp_knight_1_1_pl|克 拉 格 斯 
trp_knight_1_2|迪 林 纳 德 伯 爵 
trp_knight_1_2_pl|迪 林 纳 德 
trp_knight_1_3|哈 伦 哥 斯 伯 爵 
trp_knight_1_3_pl|哈 伦 哥 斯 
trp_knight_1_4|克 莱 斯 伯 爵 
trp_knight_1_4_pl|克 莱 斯 
trp_knight_1_5|戴 格 兰 那 伯 爵 
trp_knight_1_5_pl|戴 格 兰 那 
trp_knight_1_6|特 瑞 典 伯 爵 
trp_knight_1_6_pl|特 瑞 典 
trp_knight_1_7|格 雷 恩 沃 德 伯 爵 
trp_knight_1_7_pl|格 雷 恩 沃 德 
trp_knight_1_8|瑞 伊 斯 伯 爵 
trp_knight_1_8_pl|瑞 伊 斯 
trp_knight_1_9|普 拉 伊 斯 伯 爵 
trp_knight_1_9_pl|普 拉 伊 斯 
trp_knight_1_10|米 乔 德 伯 爵 
trp_knight_1_10_pl|米 乔 德 
trp_knight_1_11|斯 达 玛 伯 爵 
trp_knight_1_11_pl|斯 达 玛 
trp_knight_1_12|梅 尔 特 伯 爵 
trp_knight_1_12_pl|梅 尔 特 
trp_knight_1_13|伯 兰 兹 伯 爵 
trp_knight_1_13_pl|伯 兰 兹 
trp_knight_1_14|拉 法 德 伯 爵 
trp_knight_1_14_pl|拉 法 德 
trp_knight_1_15|罗 格 斯 伯 爵 
trp_knight_1_15_pl|罗 格 斯 
trp_knight_1_16|戴 尔 威 廉 伯 爵 
trp_knight_1_16_pl|戴 尔 威 廉 
trp_knight_1_17|拉 法 齐 伯 爵 
trp_knight_1_17_pl|拉 法 齐 
trp_knight_1_18|罗 车 巴 斯 伯 爵 
trp_knight_1_18_pl|罗 车 巴 斯 
trp_knight_1_19|迪 斯 平 伯 爵 
trp_knight_1_19_pl|迪 斯 平 
trp_knight_1_20|蒙 特 维 尔 伯 爵 
trp_knight_1_20_pl|蒙 特 维 尔 
trp_knight_2_1|伏 尔 德 拉 特 波 耶 
trp_knight_2_1_pl|伏 尔 德 拉 特 
trp_knight_2_2|罗 德 拉 波 耶 
trp_knight_2_2_pl|罗 德 拉 
trp_knight_2_3|马 利 加 波 耶 
trp_knight_2_3_pl|马 利 加 
trp_knight_2_4|哈 维 尔 波 耶 
trp_knight_2_4_pl|哈 维 尔 
trp_knight_2_5|多 鲁 波 耶 
trp_knight_2_5_pl|多 鲁 
trp_knight_2_6|贝 尔 加 鲁 波 耶 
trp_knight_2_6_pl|贝 尔 加 鲁 
trp_knight_2_7|拉 尔 恰 波 耶 
trp_knight_2_7_pl|拉 尔 恰 
trp_knight_2_8|维 兰 波 耶 
trp_knight_2_8_pl|维 兰 
trp_knight_2_9|穆 列 扎 波 耶 
trp_knight_2_9_pl|穆 列 扎 
trp_knight_2_10|勒 拉 格 波 耶 
trp_knight_2_10_pl|勒 拉 格 
trp_knight_2_11|格 拉 斯 克 波 耶 
trp_knight_2_11_pl|格 拉 斯 克 
trp_knight_2_12|博 拉 查 波 耶 
trp_knight_2_12_pl|博 拉 查 
trp_knight_2_13|德 鲁 波 耶 
trp_knight_2_13_pl|德 鲁 
trp_knight_2_14|马 穆 恩 波 耶 
trp_knight_2_14_pl|马 穆 恩 
trp_knight_2_15|加 斯 提 亚 波 耶 
trp_knight_2_15_pl|加 斯 提 亚 
trp_knight_2_16|哈 瑞 斯 波 耶 
trp_knight_2_16_pl|哈 瑞 斯 
trp_knight_2_17|泰 沙 波 耶 
trp_knight_2_17_pl|泰 沙 
trp_knight_2_18|瓦 里 西 恩 波 耶 
trp_knight_2_18_pl|瓦 里 西 恩 
trp_knight_2_19|鲁 迪 波 耶 
trp_knight_2_19_pl|鲁 迪 
trp_knight_2_20|库 穆 巴 波 耶 
trp_knight_2_20_pl|库 穆 巴 
trp_knight_3_1|那 颜 阿 骨 尔 
trp_knight_3_1_pl|阿 骨 尔 
trp_knight_3_2|那 颜 拖 巨 
trp_knight_3_2_pl|拖 巨 
trp_knight_3_3|那 颜 博 力 
trp_knight_3_3_pl|博 力 
trp_knight_3_4|那 颜 阿 苏 冈 
trp_knight_3_4_pl|阿 苏 冈 
trp_knight_3_5|那 颜 博 虏 剌 
trp_knight_3_5_pl|博 虏 剌 
trp_knight_3_6|那 颜 伊 迷 扎 
trp_knight_3_6_pl|伊 迷 扎 
trp_knight_3_7|那 颜 乌 幕 答 
trp_knight_3_7_pl|乌 幕 答 
trp_knight_3_8|那 颜 剌 幕 克 
trp_knight_3_8_pl|剌 幕 克 
trp_knight_3_9|那 颜 察 乌 卡 
trp_knight_3_9_pl|察 乌 卡 
trp_knight_3_10|那 颜 色 布 剌 
trp_knight_3_10_pl|色 布 剌 
trp_knight_3_11|那 颜 屠 卢 哥 
trp_knight_3_11_pl|屠 卢 哥 
trp_knight_3_12|那 颜 纳 速 给 
trp_knight_3_12_pl|纳 速 给 
trp_knight_3_13|那 颜 乌 拜 
trp_knight_3_13_pl|乌 拜 
trp_knight_3_14|那 颜 忽 古 
trp_knight_3_14_pl|忽 古 
trp_knight_3_15|那 颜 坦 速 该 
trp_knight_3_15_pl|坦 速 该 
trp_knight_3_16|那 颜 提 力 达 
trp_knight_3_16_pl|提 力 达 
trp_knight_3_17|那 颜 乌 虏 撒 买 
trp_knight_3_17_pl|乌 虏 撒 买 
trp_knight_3_18|那 颜 喀 剌 般 
trp_knight_3_18_pl|喀 剌 般 
trp_knight_3_19|那 颜 阿 卡 丹 
trp_knight_3_19_pl|阿 卡 丹 
trp_knight_3_20|那 颜 顿 都 石 
trp_knight_3_20_pl|顿 都 石 
trp_knight_4_1|伊 登 雅 尔 
trp_knight_4_1_pl|伊 登 
trp_knight_4_2|伊 阿 亚 雅 尔 
trp_knight_4_2_pl|伊 阿 亚 
trp_knight_4_3|奥 拉 夫 雅 尔 
trp_knight_4_3_pl|奥 拉 夫 
trp_knight_4_4|瑞 马 尔 德 雅 尔 
trp_knight_4_4_pl|瑞 马 尔 德 
trp_knight_4_5|图 亚 雅 尔 
trp_knight_4_5_pl|图 亚 
trp_knight_4_6|刚 德 雅 尔 
trp_knight_4_6_pl|刚 德 
trp_knight_4_7|哈 罗 德 雅 尔 
trp_knight_4_7_pl|哈 罗 德 
trp_knight_4_8|鲁 德 雅 尔 
trp_knight_4_8_pl|鲁 德 
trp_knight_4_9|海 达 雅 尔 
trp_knight_4_9_pl|海 达 
trp_knight_4_10|特 尔 格 雅 尔 
trp_knight_4_10_pl|特 尔 格 
trp_knight_4_11|罗 格 森 雅 尔 
trp_knight_4_11_pl|罗 格 森 
trp_knight_4_12|艾 尔 瑞 克 雅 尔 
trp_knight_4_12_pl|艾 尔 瑞 克 
trp_knight_4_13|法 恩 雅 尔 
trp_knight_4_13_pl|法 恩 
trp_knight_4_14|博 尔 巴 雅 尔 
trp_knight_4_14_pl|博 尔 巴 
trp_knight_4_15|雷 耶 克 雅 尔 
trp_knight_4_15_pl|雷 耶 克 
trp_knight_4_16|迪 里 刚 雅 尔 
trp_knight_4_16_pl|迪 里 刚 
trp_knight_4_17|马 拉 伊 尔 雅 尔 
trp_knight_4_17_pl|马 拉 伊 尔 
trp_knight_4_18|吉 尔 斯 雅 尔 
trp_knight_4_18_pl|吉 尔 斯 
trp_knight_4_19|索 尔 顿 雅 尔 
trp_knight_4_19_pl|索 尔 顿 
trp_knight_4_20|加 拉 德 雅 尔 
trp_knight_4_20_pl|加 拉 德 
trp_knight_5_1|马 特 阿 斯 伯 爵 
trp_knight_5_1_pl|马 特 阿 斯 
trp_knight_5_2|格 特 拉 斯 伯 爵 
trp_knight_5_2_pl|格 特 拉 斯 
trp_knight_5_3|拉 鲁 肯 伯 爵 
trp_knight_5_3_pl|拉 鲁 肯 
trp_knight_5_4|赖 齐 斯 伯 爵 
trp_knight_5_4_pl|赖 齐 斯 
trp_knight_5_5|雷 兰 德 伯 爵 
trp_knight_5_5_pl|雷 兰 德 
trp_knight_5_6|塔 齐 亚 斯 伯 爵 
trp_knight_5_6_pl|塔 齐 亚 斯 
trp_knight_5_7|杰 哈 茂 尔 伯 爵 
trp_knight_5_7_pl|杰 哈 茂 尔 
trp_knight_5_8|塔 尔 巴 伯 爵 
trp_knight_5_8_pl|塔 尔 巴 
trp_knight_5_9|里 穆 斯 克 伯 爵 
trp_knight_5_9_pl|里 穆 斯 克 
trp_knight_5_10|法 尔 塞 弗 伯 爵 
trp_knight_5_10_pl|法 尔 塞 弗 
trp_knight_5_11|艾 特 罗 斯 克 伯 爵 
trp_knight_5_11_pl|艾 特 罗 斯 克 
trp_knight_5_12|库 尼 亚 斯 伯 爵 
trp_knight_5_12_pl|库 尼 亚 斯 
trp_knight_5_13|泰 罗 格 伯 爵 
trp_knight_5_13_pl|泰 罗 格 
trp_knight_5_14|图 比 顿 伯 爵 
trp_knight_5_14_pl|图 比 顿 
trp_knight_5_15|加 鲁 奇 伯 爵 
trp_knight_5_15_pl|加 鲁 奇 
trp_knight_5_16|弗 德 利 穆 伯 爵 
trp_knight_5_16_pl|弗 德 利 穆 
trp_knight_5_17|尼 尔 恰 伯 爵 
trp_knight_5_17_pl|尼 尔 恰 
trp_knight_5_18|法 拉 奇 伯 爵 
trp_knight_5_18_pl|法 拉 奇 
trp_knight_5_19|图 穆 巴 伯 爵 
trp_knight_5_19_pl|图 穆 巴 
trp_knight_5_20|瑞 齐 森 伯 爵 
trp_knight_5_20_pl|瑞 齐 森 
trp_knight_6_1|艾 尔 莎 
trp_knight_6_1_pl|艾 尔 莎 
trp_knight_6_2|哈 么 赞 酋 长 
trp_knight_6_2_pl|哈 么 赞 
trp_knight_6_3|阿 提 斯 酋 长 
trp_knight_6_3_pl|阿 提 斯 
trp_knight_6_4|努 瓦 斯 酋 长 
trp_knight_6_4_pl|努 瓦 斯 
trp_knight_6_5|蒙 德 哈 里 酋 长 
trp_knight_6_5_pl|蒙 德 哈 里 
trp_knight_6_6|哈 纳 瓦 酋 长 
trp_knight_6_6_pl|哈 纳 瓦 
trp_knight_6_7|努 阿 姆 酋 长 
trp_knight_6_7_pl|努 阿 姆 
trp_knight_6_8|迪 乌 酋 长 
trp_knight_6_8_pl|迪 乌 
trp_knight_6_9|拉 库 姆 酋 长 
trp_knight_6_9_pl|拉 库 姆 
trp_knight_6_10|胡 拉 森 酋 长 
trp_knight_6_10_pl|胡 拉 森 
trp_knight_6_11|阿 扎 顿 酋 长 
trp_knight_6_11_pl|阿 扎 顿 
trp_knight_6_12|库 鲁 阿 斯 酋 长 
trp_knight_6_12_pl|库 鲁 阿 斯 
trp_knight_6_13|阿 姆 达 酋 长 
trp_knight_6_13_pl|阿 姆 达 
trp_knight_6_14|西 瓦 酋 长 
trp_knight_6_14_pl|西 瓦 
trp_knight_6_15|穆 哈 伊 酋 长 
trp_knight_6_15_pl|穆 哈 伊 
trp_knight_6_16|阿 亚 姆 酋 长 
trp_knight_6_16_pl|阿 亚 姆 
trp_knight_6_17|拉 都 酋 长 
trp_knight_6_17_pl|拉 都 
trp_knight_6_18|提 里 穆 萨 酋 长 
trp_knight_6_18_pl|提 里 穆 萨 
trp_knight_6_19|哈 什 万 酋 长 
trp_knight_6_19_pl|哈 什 万 
trp_knight_6_20|比 力 亚 酋 长 
trp_knight_6_20_pl|比 力 亚 
trp_knight_7_1|【 光 明 法 师 】 卡 门 
trp_knight_7_1_pl|【 光 明 法 师 】 卡 门 
trp_knight_8_1|魑 
trp_knight_8_1_pl|魑 
trp_knight_8_2|魅 
trp_knight_8_2_pl|魅 
trp_knight_8_3|魍 
trp_knight_8_3_pl|魍  
trp_knight_8_4|魉 
trp_knight_8_4_pl|魉 
trp_kingdom_1_pretender|苏 诺 的 艾 索 娜 夫 人 
trp_kingdom_1_pretender_pl|艾 索 娜 
trp_kingdom_2_pretender|私 生 子 维 迪 姆 王 子 
trp_kingdom_2_pretender_pl|维 迪 姆 
trp_kingdom_3_pretender|达 斯 塔 姆 可 汗 
trp_kingdom_3_pretender_pl|达 斯 塔 姆 
trp_kingdom_4_pretender|先 知 勒 斯 汶 
trp_kingdom_4_pretender_pl|勒 斯 汶 
trp_kingdom_5_pretender|维 鲁 加 的 凯 斯 托 领 主 
trp_kingdom_5_pretender_pl|凯 斯 托 
trp_kingdom_6_pretender|珍 珠 之 光 阿 尔 瓦 
trp_kingdom_6_pretender_pl|阿 尔 瓦 
trp_kingdom_7_pretender|骗 子 
trp_kingdom_7_pretender_pl|骗 子 
trp_knight_1_1_wife|knight 1 1 wife
trp_knight_1_1_wife_pl|knight 1 1 wife
trp_kingdom_1_lady_1|安 娜 女 士 
trp_kingdom_1_lady_1_pl|安 娜 
trp_kingdom_1_lady_2|奈 尔 达 女 士 
trp_kingdom_1_lady_2_pl|奈 尔 达 
trp_knight_1_lady_3|贝 娜 女 士 
trp_knight_1_lady_3_pl|贝 娜 
trp_knight_1_lady_4|艾 丽 娜 女 士 
trp_knight_1_lady_4_pl|艾 丽 娜 
trp_kingdom_l_lady_5|康 丝 坦 斯 女 士 
trp_kingdom_l_lady_5_pl|康 丝 坦 斯 
trp_kingdom_1_lady_6|维 拉 女 士 
trp_kingdom_1_lady_6_pl|维 拉 
trp_kingdom_1_lady_7|奥 贝 丽 娜 女 士 
trp_kingdom_1_lady_7_pl|奥 贝 丽 娜 
trp_kingdom_1_lady_8|蒂 贝 尔 女 士 
trp_kingdom_1_lady_8_pl|蒂 贝 尔 
trp_kingdom_1_lady_9|玛 盖 尔 女 士 
trp_kingdom_1_lady_9_pl|玛 盖 尔 
trp_kingdom_1_lady_10|哲 朵 莎 女 士 
trp_kingdom_1_lady_10_pl|哲 朵 莎 
trp_kingdom_1_lady_11|梅 丽 莎 女 士 
trp_kingdom_1_lady_11_pl|梅 丽 莎 
trp_kingdom_1_lady_12|依 瑞 纳 女 士 
trp_kingdom_1_lady_12_pl|依 瑞 纳 
trp_kingdom_l_lady_13|菲 丽 娜 女 士 
trp_kingdom_l_lady_13_pl|菲 丽 娜 
trp_kingdom_1_lady_14|索 娜 德 女 士 
trp_kingdom_1_lady_14_pl|索 娜 德 
trp_kingdom_1_lady_15|波 迪 拉 女 士 
trp_kingdom_1_lady_15_pl|波 迪 拉 
trp_kingdom_1_lady_16|爱 丽 舍 女 士 
trp_kingdom_1_lady_16_pl|爱 丽 舍 
trp_kingdom_1_lady_17|乔 安 娜 女 士 
trp_kingdom_1_lady_17_pl|乔 安 娜 
trp_kingdom_1_lady_18|伯 纳 图 斯 女 士 
trp_kingdom_1_lady_18_pl|伯 纳 图 斯 
trp_kingdom_1_lady_19|安 瑞 卡 塔 女 士 
trp_kingdom_1_lady_19_pl|安 瑞 卡 塔 
trp_kingdom_1_lady_20|佳 艾 塔 女 士 
trp_kingdom_1_lady_20_pl|佳 艾 塔 
trp_kingdom_2_lady_1|朱 丽 莎 女 士 
trp_kingdom_2_lady_1_pl|朱 丽 莎 
trp_kingdom_2_lady_2|凯 提 亚 女 士 
trp_kingdom_2_lady_2_pl|凯 提 亚 
trp_kingdom_2_lady_3|瑟 欧 密 斯 女 士 
trp_kingdom_2_lady_3_pl|瑟 欧 密 斯 
trp_kingdom_2_lady_4|德 瑞 娜 女 士 
trp_kingdom_2_lady_4_pl|德 瑞 娜 
trp_kingdom_2_lady_5|内 莎 女 士 
trp_kingdom_2_lady_5_pl|内 莎 
trp_kingdom_2_lady_6|塔 芭 提 女 士 
trp_kingdom_2_lady_6_pl|塔 芭 提 
trp_kingdom_2_lady_7|佩 尔 卡 女 士 
trp_kingdom_2_lady_7_pl|佩 尔 卡 
trp_kingdom_2_lady_8|海 瑞 丝 女 士 
trp_kingdom_2_lady_8_pl|海 瑞 丝 
trp_kingdom_2_lady_9|法 耶 女 士 
trp_kingdom_2_lady_9_pl|法 耶 
trp_kingdom_2_lady_10|约 卡 女 士 
trp_kingdom_2_lady_10_pl|约 卡 
trp_kingdom_2_lady_11|特 吉 娜 女 士 
trp_kingdom_2_lady_11_pl|特 吉 娜 
trp_kingdom_2_lady_12|奥 克 莎 女 士 
trp_kingdom_2_lady_12_pl|奥 克 莎 
trp_kingdom_2_lady_13|玛 塔 女 士 
trp_kingdom_2_lady_13_pl|玛 塔 
trp_kingdom_2_lady_14|安 吉 丽 娜 女 士 
trp_kingdom_2_lady_14_pl|安 吉 丽 娜 
trp_kingdom_2_lady_15|瑟 帕 纳 女 士 
trp_kingdom_2_lady_15_pl|瑟 帕 纳 
trp_kingdom_2_lady_16|艾 瑞 纳 女 士 
trp_kingdom_2_lady_16_pl|艾 瑞 纳 
trp_kingdom_2_lady_17|斯 哈 维 女 士 
trp_kingdom_2_lady_17_pl|斯 哈 维 
trp_kingdom_2_lady_18|艾 瑞 琦 娜 女 士 
trp_kingdom_2_lady_18_pl|艾 瑞 琦 娜 
trp_kingdom_2_lady_19|塔 玛 女 士 
trp_kingdom_2_lady_19_pl|塔 玛 
trp_kingdom_2_lady_20|沃 卡 女 士 
trp_kingdom_2_lady_20_pl|沃 卡 
trp_kingdom_3_lady_1|保 格 女 士 
trp_kingdom_3_lady_1_pl|保 格 
trp_kingdom_3_lady_2|图 安 女 士 
trp_kingdom_3_lady_2_pl|图 安 
trp_kingdom_3_lady_3|玛 拉 兹 女 士 
trp_kingdom_3_lady_3_pl|玛 拉 兹 
trp_kingdom_3_lady_4|艾 苏 女 士 
trp_kingdom_3_lady_4_pl|艾 苏 
trp_kingdom_3_lady_5|拉 薇 女 士 
trp_kingdom_3_lady_5_pl|拉 薇 
trp_kingdom_3_lady_6|露 哈 女 士 
trp_kingdom_3_lady_6_pl|露 哈 
trp_kingdom_3_lady_7|科 迪 娜 女 士 
trp_kingdom_3_lady_7_pl|科 迪 娜 
trp_kingdom_3_lady_8|科 菲 女 士 
trp_kingdom_3_lady_8_pl|科 菲 
trp_kingdom_3_lady_9|尼 瑞 兹 女 士 
trp_kingdom_3_lady_9_pl|尼 瑞 兹 
trp_kingdom_3_lady_10|杜 露 女 士 
trp_kingdom_3_lady_10_pl|杜 露 
trp_kingdom_3_lady_11|舍 丽 科 女 士 
trp_kingdom_3_lady_11_pl|舍 丽 科 
trp_kingdom_3_lady_12|塔 拉 塔 女 士 
trp_kingdom_3_lady_12_pl|塔 拉 塔 
trp_kingdom_3_lady_13|雅 斯 瑞 女 士 
trp_kingdom_3_lady_13_pl|雅 斯 瑞 
trp_kingdom_3_lady_14|娜 哈 女 士 
trp_kingdom_3_lady_14_pl|娜 哈 
trp_kingdom_3_lady_15|泽 努 女 士 
trp_kingdom_3_lady_15_pl|泽 努 
trp_kingdom_3_lady_16|阿 吉 斯 女 士 
trp_kingdom_3_lady_16_pl|泽 努 
trp_kingdom_3_lady_17|安 亚 汗 女 士 
trp_kingdom_3_lady_17_pl|安 亚 汗 
trp_kingdom_3_lady_18|库 塔 拉 女 士 
trp_kingdom_3_lady_18_pl|库 塔 拉 
trp_kingdom_3_lady_19|辛 黛 尔 女 士 
trp_kingdom_3_lady_19_pl|辛 黛 尔 
trp_kingdom_3_lady_20|玛 歇 特 女 士 
trp_kingdom_3_lady_20_pl|玛 歇 特 
trp_kingdom_4_lady_1|佳 德 丝 女 士 
trp_kingdom_4_lady_1_pl|佳 德 丝 
trp_kingdom_4_lady_2|米 艾 女 士 
trp_kingdom_4_lady_2_pl|米 艾 
trp_kingdom_4_lady_3|卓 娜 女 士 
trp_kingdom_4_lady_3_pl|卓 娜 
trp_kingdom_4_lady_4|纲 德 女 士 
trp_kingdom_4_lady_4_pl|纲 德 
trp_kingdom_4_lady_5|罗 卡 女 士 
trp_kingdom_4_lady_5_pl|罗 卡 
trp_kingdom_4_lady_6|波 瑞 女 士 
trp_kingdom_4_lady_6_pl|波 瑞 
trp_kingdom_4_lady_7|伊 瑞 女 士 
